time,AAPL,AMZN,BAC,GOOGL,JPM,META,MSFT,XOM
2004-09-15,,,27.77724273,,,,,24.072798
2004-09-16,,,27.88415084,,,,,24.13370833
2004-09-17,,,28.08538964,,,,,24.54989426
2004-09-20,,,27.90301698,,,,,24.46869232
2004-09-21,,,28.09796078,,,,,25.11834841
2004-09-22,,,27.62002492,,,,,24.79859073
2004-09-23,,,27.39992628,,,,,24.24028746
2004-09-24,,,27.6577572,,,,,24.2758206
2004-09-27,,,27.55714409,,,,,24.34180637
2004-09-28,,,27.46908954,,,,,24.63110127
2004-09-29,,,27.41249741,,,,,24.43822954
2004-09-30,,,27.24899089,,,,,24.52959251
2004-10-01,,,27.77095402,,,,,24.81381704
2004-10-04,,,27.89044585,,,,,24.82904336
2004-10-05,,,28.12312192,,,,,25.03206596
2004-10-06,,,28.45642367,,,,,25.39241699
2004-10-07,,,28.56961421,,,,,25.24523436
2004-10-08,,,28.38724784,,,,,25.29598367
2004-10-11,,,28.55704307,,,,,25.2706014
2004-10-12,,,28.63250762,,,,,25.05743807
2004-10-13,,,28.30548829,,,,,24.60572408
2004-10-14,,,27.79610887,,,,,24.72246423
2004-10-15,,,28.29292344,,,,,24.87979774
2004-10-18,,,28.28662844,,,,,24.74276091
2004-10-19,,,27.89672827,,,,,24.51944163
2004-10-20,,,27.49425067,,,,,24.80366617
2004-10-21,,,27.61373621,,,,,24.77321354
2004-10-22,,,27.54456037,,,,,24.71738372
2004-10-25,,,27.43136355,,,,,24.77321354
2004-10-26,,,27.58858136,,,,,25.06758895
2004-10-27,,,27.89672827,,,,,24.84426967
2004-10-28,,,27.99734767,,,,,24.67170477
2004-10-29,,,28.16713661,,,,,24.9813065
2004-11-01,,,28.3683817,,,,,24.77829405
2004-11-02,,,28.40611397,,,,,24.58034181
2004-11-03,,,28.70168346,,,,,25.00668369
2004-11-04,,,29.08529492,,,,,25.473624
2004-11-05,,,28.89663354,,,,,25.57513276
2004-11-08,,,28.90921097,,,,,25.46347312
2004-11-09,,,28.88404983,,,,,25.16240194
2004-11-10,,,29.07271749,,,,,25.34610636
2004-11-11,,,29.62612418,,,,,25.34100346
2004-11-12,,,29.83365169,,,,,25.72882389
2004-11-15,,,29.76447586,,,,,25.30018025
2004-11-16,,,29.41230796,,,,,25.21343095
2004-11-17,,,29.29911114,,,,,25.51450207
2004-11-18,,,29.18591431,,,,,25.54001657
2004-11-19,,,28.83375271,,,,,25.70841229
2004-11-22,,,29.09157734,,,,,25.97886601
2004-11-23,,,29.17961931,,,,,26.12685012
2004-11-24,,,29.21736417,,,,,26.27483934
2004-11-26,,,29.22364659,,,,,26.35647554
2004-11-29,,,29.14189333,,,,,26.21359943
2004-11-30,,,29.09787234,,,,,26.15236462
2004-12-01,,,29.58685872,,,,,26.10133052
2004-12-02,,,29.47890066,,,,,25.60125138
2004-12-03,,,29.41540227,,,,,25.65228038
2004-12-06,,,29.52970446,,,,,25.58594268
2004-12-07,,,29.11692999,,,,,25.36141506
2004-12-08,,,29.28203597,,,,,25.52470787
2004-12-09,,,29.33919023,,,,,25.67779999
2004-12-10,,,29.13597506,,,,,25.59104047
2004-12-13,,,29.18678521,,,,,25.8563964
2004-12-14,,,29.10422269,,,,,25.8512935
2004-12-15,,,29.16772108,,,,,25.77474489
2004-12-16,,,29.26933502,,,,,25.56553618
2004-12-17,,,28.70414283,,,,,25.41244406
2004-12-20,,,28.907358,,,,,26.05540951
2004-12-21,,,29.40904545,,,,,26.37689224
2004-12-22,,,29.72021868,,,,,26.17277112
2004-12-23,,,29.65671394,,,,,26.51977345
2004-12-27,,,29.63131204,,,,,25.96355731
2004-12-28,,,29.82817674,,,,,26.05030661
2004-12-29,,,29.75832152,,,,,26.09112982
2004-12-30,,,29.82183262,,,,,26.04010081
2004-12-31,,,29.84088404,,,,,26.15746242
2005-01-03,,,29.50430891,,,,,25.56042817
2005-01-04,,,29.09787857,,,,,25.38692956
2005-01-05,,,28.76129074,,,,,25.25425925
2005-01-06,,,28.71684378,,,,,25.57573688
2005-01-07,,,28.40567055,,,,,25.40733606
2005-01-10,,,28.76129074,,,,,25.50429627
2005-01-11,,,28.69143553,,,,,25.43796367
2005-01-12,,,28.61523619,,,,,25.8155732
2005-01-13,,,28.25960964,,,,,25.79516159
2005-01-14,,,28.50727813,,,,,26.06051752
2005-01-18,,,29.04071795,,,,,26.27993713
2005-01-19,,,28.55808192,,,,,26.05030661
2005-01-20,,,28.77399804,,,,,25.8819109
2005-01-21,,,28.63428761,,,,,25.73902969
2005-01-24,,,28.71684378,,,,,26.09112982
2005-01-25,,,28.95181132,,,,,26.19318783
2005-01-26,,,29.06611985,,,,,26.38199514
2005-01-27,,,28.91370847,,,,,26.40750964
2005-01-28,,,29.02166653,,,,,26.16257042
2005-01-31,,,29.44714829,,,,,26.33097124
2005-02-01,,,29.64400664,,,,,27.18315051
2005-02-02,,,29.67576536,,,,,27.51993683
2005-02-03,,,29.46619337,,,,,27.82101306
2005-02-04,,,29.77737295,,,,,28.21393129
2005-02-07,,,29.61861109,,,,,28.27006319
2005-02-08,,,29.77737295,,,,,28.60338138
2005-02-09,,,29.49160161,,,,,28.48030685
2005-02-10,,,29.80276849,,,,,28.89054333
2005-02-11,,,29.73292598,,,,,28.77260181
2005-02-14,,,29.80276849,,,,,29.14181004
2005-02-15,,,29.88533101,,,,,29.18796106
2005-02-16,,,29.70116726,,,,,29.98791221
2005-02-17,,,29.44079782,,,,,29.80843599
2005-02-18,,,29.04707478,,,,,30.46480616
2005-02-22,,,28.70414283,,,,,29.8699707
2005-02-23,,,29.04071795,,,,,30.46993406
2005-02-24,,,29.33919023,,,,,31.34680358
2005-02-25,,,29.71386186,,,,,32.43903944
2005-02-28,,,29.62495522,,,,,32.46468403
2005-03-01,,,29.89803195,,,,,31.84421423
2005-03-02,,,29.85956785,,,,,32.14162171
2005-03-03,,,29.70567922,,,,,32.33135884
2005-03-04,,,29.99420837,,,,,32.59801435
2005-03-07,,,29.79544385,,,,,32.30571938
2005-03-08,,,29.6607905,,,,,32.35700343
2005-03-09,,,29.30173841,,,,,31.17245013
2005-03-10,,,29.40432655,,,,,30.95708379
2005-03-11,,,29.34662072,,,,,31.30578045
2005-03-14,,,29.365856,,,,,31.42372196
2005-03-15,,,29.19914385,,,,,30.94683314
2005-03-16,,,28.7246801,,,,,30.91605553
2005-03-17,,,28.71185658,,,,,31.53141282
2005-03-18,,,28.81444473,,,,,32.12623803
2005-03-21,,,28.40409215,,,,,31.86984343
2005-03-22,,,27.99373958,,,,,31.22885694
2005-03-23,,,28.19891587,,,,,30.81350282
2005-03-24,,,28.05144541,,,,,30.25456259
2005-03-28,,,28.39767398,,,,,30.19815578
2005-03-29,,,28.14121004,,,,,29.88022648
2005-03-30,,,28.2245629,,,,,30.37763713
